Joanna Evans,F,180.34,66.36
Joanna Maranhao,F,173.00,58
Joao de Lucca,M,193.00,96.00
Joao Gomes,M,190.00,89.00
Joeri Verlinden,M,180.00,72.00
Johanna Umurungi,F,,
Jonathan David Gomez Noriega,M,178,78
Jordan Coelho,M,183,75
Jordan Pothain,M,190.50,74.09
Jorge Mario Murillo Valdes,M,187.50,83.00
Joseph Schooling,M,184.00,74.00
Josh Prenot,M,178,73
Joshua Beaver,M,175.00,70.00
Joshua Palmer,M,186.00,87.00
Judit Ignacio Sorribes,F,165.00,58.00
Julia Hassler,F,177.00,73.00
Julia Sebastian,F,178.00,70
Julian Fletcher,M,184.00,79.00
Junya Hasegawa,M,180.00,70.00
Kacper Majchrzak,M,190.00,87.00
Kaio Marcio,M,175.00,76
Kanako Watanabe,F,167.00,60.00
Katarina Listopadova,F,169.00,60.00
Katarina Simonovic,F,165.10,64.09
Katerine Savard,F,167.00,54.00
Kathleen Baker,F,173.00,67.00
Katie Ledecky,F,183.00,70.45
Katinka Hosszu,F,175.00,68.00
Katinka Hosszú,F,175.00,68.18
Kaya Adwoa Forson,F,,
Kelsi Worrell,F,180.00,75.00
Kevin Cordes,M,198,88.00
Keyuan Shang,M,183.00,79.00
Khader Baqlah,M,184.00,80.00
Kierra Smith,F,150,57.00
Kimberly Buys,F,187.00,75.00
Kimiko Raheem,F,165.00,51.00
Kira Toussaint,F,174.00,72.00
Kirill Prigoda,M,192.00,88
Kirsty Leigh Coventry,F,176.00,64.00
Kliment Kolesnikov,M,198.00,91.34
Konrad Czerniak,M,193,78
Kosuke Hagino,M,177.00,71.00
Kristel Kobrich,F,171.00,61.00
Kristel Vourna,F,174,61
Kylie Masse,F,173.00,60.91
Kyuwoong Choi,M,181.00,74
Lani Cabrera,F,175.26,66.36
Lara Butler,F,183.00,75.00
Lara Grangeon,F,173,60
Larissa Oliveira,F,168.00,56.00
Laszlo Cseh,M,188.00,84.00
Lauren Boyle,F,183.00,67.00
Laurent Carnol,M,187.00,82.00
Leah Smith,F,177.80,67.27
Leonardo De Deus,M,175,70
Leonie Antonia Beck,F,182.88,62.27
Liam Tancock,M,183.00,81.36
Liliana Szilagyi,F,176,63
Lillia King,F,175.00,70.45
Lilly King,F,175.00,70.00
Lisa Graf,F,183.00,69.00
Liu Zige,F,181.00,67.27
Liubomyr Lemeshko,M,186,86
Long Gutierrez Feng,M,190,85
Lotte Friis,F,184.00,72.00
Louis Croenen,M,186,79
Louise Hansson,F,187,71
Luca Pizzini,M,185,68
Lucie Svecena,F,175.00,60.00
Luis Martinez,M,182,74.00
Luiz Altamir,M,174.00,69.00
Maarten Brzoskowski,M,185.42,80.00
Mack Horton,M,190.50,88.18
Madeline Dirado,F,176.00,64.00
Madeline Groves,F,179,66
Madison Wilson,F,179.00,61.00
Mads Glaesner,M,187.96,82.27
Manuella Lyrio,F,163.00,55.00
Marcelo Alberto Acosta Jimenez,M,175.26,75.00
Marcin Stolarski,M,187.00,79
Marco Belotti,M,184.00,70.00
Marco Koch,M,185.00,83.18
Marcos Macedo,M,189,85
Margherita Panziera,F,180.00,65.00
Maria Far,F,163,57
Maria Romanjuk,F,169.00,65
Maria Vilas Vidal,F,168.00,64.00
Marie Laura Meza,F,163.00,55.00
Marie Wattel,F,181,71.00
Martha McCabe,F,168,58
Martin Allikvee,M,182,77
Martin Andres Melconian Alvez,M,182.00,74.00
Martin Naidich,M,185.42,74.09
Martina Carraro,F,175.00,60.00
Martina Moravcikova,F,174.00,64.00
Martina Van Berkel,F,166,54
Marwan Elkamash,M,183.00,77.00
Masaki Kaneko,M,181.00,75.00
Masato Sakai,M,181.00,77
Matea Samardzic,F,177.00,61.00
Matelita Buadromo,F,175.00,72.00
Matias Koski,M,195.58,93.18
Matt Hutchins,M,190.50,75.00
Matteo Rivolta,M,193.00,85
Matthew Stanley,M,198.00,82.00
Matti Mattsson,M,197.00,98.00
Mehdy Metella,M,190.00,90.00
Melania Costa Schmid,F,180.34,69.09
Melissa Franklin,F,185.00,75.00
Merdan Atayev,M,196.00,80.00
Michael Phelps,M,193.00,88.18
Michelle Coleman,F,186.00,74.00
Mie Nielsen,F,186.00,74.00
Miguel Duran Navia,M,193.04,80.00
Mikel Schreuders,M,189.00,90.00
Mikita Tsmyh,M,190.00,80.00
Mimosa Jallow,F,176.00,67.00
Mireia Belmonte Garcia,F,170.00,60.00
Missy Franklin,F,185.00,75.00
Mitch Larkin,M,187.00,72.27
Mitchell Larkin,M,187.00,72.00
Molly Hannis,F,170.00,70.45
Molly Renshaw,F,175,65
Nada Arakji,F,163,59.00
Naito Ehara,M,172.00,59.00
Natalia Lovtcova,F,,
Natsumi Hoshi,F,164.00,54
Natsumi Sakai,F,172.00,58.00
Natsumi Sakhi,F,172.00,58.00
Nezir Karap,M,177.80,74.09
Nicholas Quinn,M,185.00,78.00
Nida Ustundag,F,179,69
Nikita Lobintsev,M,193.00,85.00
Nina Rangelova,F,170.00,58.00
Noah Al-Khulaifi,M,190.00,86.00
Noah Mascoll-Gomes,M,175.00,68.00
Noemie Thomas,F,165,59
Nooran Ahmed Ali Ba Matraf,F,166.00,60.00
Olivia Smoliga,F,188.00,74.00
Omar Andres Pinzon Garcia,M,184.00,82.00
Oreoluwa Cherebin,F,150.00,54.00
Oumar Toure,M,159.00,57.00
Panagiotis Samilidis,M,187.00,91
Park Taehwan,M,182.88,76.36
Patricia Castro Ortega,F,178.00,66.00
Paul Biedermann,M,193.00,93.18
Pavel Sankovich,M,182,77
Pawel Korzeninowski,M,192.00,80.00
